Transaction ID,Approved Transactions,Arrival Time,Exit Probability,Agent ID,Cumulative Weight Multi-Agent,Exit Probability Multi-Agent,Confirmation Confidence Multi-Agent
0,[],0,0,N/A,"{0: 201, 1: 201, 2: 201, 3: 201}","{0: 1, 1: 1, 2: 1, 3: 1}",{}
1,[0],1.7725522293831204,0,1,"{1: 195, 0: 195, 2: 195, 3: 195}","{0: 0.37754066879814546, 1: 0.37754066879814546, 2: 0.18242552380635632, 3: 0.37754066879814546}",{}
2,[0],2.3313585551841283,0,2,"{2: 198, 1: 196, 0: 196, 3: 196}","{0: 0.6224593312018546, 1: 0.6224593312018546, 2: 0.8175744761936437, 3: 0.6224593312018546}",{}
3,[0],3.1833613342521168,0,2,"{1: 1, 2: 1, 3: 1, 0: 1}","{0: 4.650998903861276e-43, 1: 4.650998903861276e-43, 2: 2.2473364630111345e-43, 3: 4.650998903861276e-43}",{}
4,[2],3.487073132766837,0,2,"{2: 191, 0: 191, 1: 191, 3: 191}","{0: 0.2388076000113039, 1: 0.20748644373395153, 2: 0.3136638631688991, 3: 0.2388076000113039}",{}
5,[2],3.573064985778144,0,2,"{2: 191, 3: 191, 1: 191, 0: 191}","{0: 0.2388076000113039, 1: 0.20748644373395153, 2: 0.3136638631688991, 3: 0.2388076000113039}",{}
6,"[1, 2]",5.308873861273547,0,1,"{1: 191, 2: 190, 0: 190, 3: 190}","{0: 0.4208484758858405, 1: 0.5161540582683932, 2: 0.3236104939955545, 3: 0.4208484758858405}",{}
7,[4],5.885935448030495,0,2,"{2: 188, 0: 188, 1: 188, 3: 188}","{0: 0.11940380000565196, 1: 0.10374322186697577, 2: 0.15683193158444955, 3: 0.11940380000565196}",{}
8,"[1, 4]",5.994912645328483,0,2,"{2: 188, 0: 188, 1: 188, 3: 188}","{0: 0.22094012409720376, 1: 0.17261627613067954, 2: 0.2058937112510969, 3: 0.22094012409720376}",{}
9,"[4, 1]",6.152898698582665,0,3,"{1: 1, 3: 1, 2: 1, 0: 1}","{0: 9.013381981880333e-42, 1: 7.041982253848288e-42, 2: 8.399554742517663e-42, 3: 9.013381981880333e-42}",{}
10,"[5, 6]",6.631635901743884,0,1,"{2: 190, 0: 190, 1: 190, 3: 190}","{0: 0.6596560758971444, 1: 0.7236405020023448, 2: 0.6372743571644537, 3: 0.6596560758971444}",{}
